Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.004,-81.534,90,top
C2,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,101.6,-75.692,90,top
C3,0.1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.758,-59.944,180,top
J1,USB_B_Micro,USB_Micro-B_Molex-105017-0001,95.758,-88.9,0,top
Q1,FS8205,SOT-23-6,93.218,-75.692,0,top
Q2,S8050,SOT-23,97.52,-47.244,0,top
Q3,S8050,SOT-23,92.456,-47.244,0,top
R1,470,R_0805_2012Metric,103.504,-81.534,270,top
R2,1k,R_0805_2012Metric,90.932,-81.534,270,top
R3,2k,R_0805_2012Metric,89.154,-75.692,90,top
R4,1.8k,R_0805_2012Metric,87.63,-81.534,270,top
R5,4.7k,R_0805_2012Metric,95.758,-70.4365,90,top
R6,1k,R_0805_2012Metric,92.456,-52.578,180,top
R7,6.8,R_0805_2012Metric,97.52,-52.578,0,top
U1,TP4054,SOT-23-5,95.504,-81.534,0,top
U2,DW01,SOT-23-6,98.044,-75.692,0,top
U3,ATtiny412-SS,SOIC-8_3.9x4.9mm_P1.27mm,95.758,-65.532,0,top
